<data>
<obtid>51068</obtid><ddatetime>2021-10-24 10:00:18</ddatetime><t>139</t><p>10253</p><u>47</u><keyid>8354</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:01:18</ddatetime><t>152</t><p>10123</p><u>99</u><keyid>8355</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:02:19</ddatetime><t>240</t><p>10056</p><u>95</u><keyid>8356</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:03:19</ddatetime><t>285</t><p>10108</p><u>59</u><keyid>8357</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:04:19</ddatetime><t>265</t><p>10239</p><u>80</u><keyid>8358</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:05:19</ddatetime><t>178</t><p>10074</p><u>24</u><keyid>8359</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:06:19</ddatetime><t>230</t><p>10250</p><u>49</u><keyid>8360</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:07:19</ddatetime><t>83</t><p>10124</p><u>46</u><keyid>8361</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:16:19</ddatetime><t>92</t><p>10176</p><u>66</u><keyid>23521</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:17:19</ddatetime><t>87</t><p>10189</p><u>16</u><keyid>23522</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:18:19</ddatetime><t>61</t><p>10260</p><u>56</u><keyid>23523</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:19:19</ddatetime><t>165</t><p>10228</p><u>3</u><keyid>23524</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:20:19</ddatetime><t>149</t><p>10056</p><u>28</u><keyid>23525</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:21:19</ddatetime><t>298</t><p>10175</p><u>90</u><keyid>23526</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:22:19</ddatetime><t>340</t><p>10132</p><u>72</u><keyid>23527</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:23:19</ddatetime><t>204</t><p>10192</p><u>72</u><keyid>23528</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:24:19</ddatetime><t>253</t><p>10153</p><u>25</u><keyid>23529</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:08:19</ddatetime><t>23</t><p>10092</p><u>55</u><keyid>16381</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:09:19</ddatetime><t>37</t><p>10177</p><u>2</u><keyid>16382</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:10:19</ddatetime><t>160</t><p>10154</p><u>86</u><keyid>16383</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:11:19</ddatetime><t>10</t><p>10103</p><u>28</u><keyid>16384</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:12:19</ddatetime><t>81</t><p>10026</p><u>20</u><keyid>16385</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:13:19</ddatetime><t>324</t><p>10038</p><u>97</u><keyid>16386</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:14:19</ddatetime><t>154</t><p>10101</p><u>54</u><keyid>16387</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:15:19</ddatetime><t>310</t><p>10187</p><u>76</u><keyid>16388</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:33:19</ddatetime><t>182</t><p>10074</p><u>63</u><keyid>39689</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:34:19</ddatetime><t>32</t><p>10121</p><u>57</u><keyid>39690</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:35:19</ddatetime><t>252</t><p>10241</p><u>31</u><keyid>39691</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:36:19</ddatetime><t>178</t><p>10193</p><u>80</u><keyid>39692</keyid><endl/>
<obtid>51068</obtid><ddatetime>2021-10-24 10:37:19</ddatetime><t>126</t><p>10159</p><u>78</u><keyid>39693</keyid><endl/>
